DESCRIPTION,PROPERTY NAME,ESA,STREET START NR,STREET END NR,LOT PREFIX,LOT NUMBER,STREET_NAME,STREET TYPE,LOCALITY_NAME,STATE CODE,POST CODE,LONG  DEG,LONG  MIN,LONG SEC,EW HEM,LAT DEG,LAT MIN,LAT SEC,NS HEMI,AMG ZONE,EASTING,NORTHING,PMS CODE
,BIBBENLUKE SCAX,BIBB,,,,,SHORT,ST,BIBBENLUKE,NSW,2632,149,19,38,E,36,51,56,S,55,707435,5917518,1109
,BIDGEEMIA EXCHANGE,BDGM,,,,,URANA-RAND,RD,BIDGEEMIA,NSW,2642,146,35,32,E,35,27,51,S,55,462989,6075407,1113
,BIG JACKS CREEK SCAX,BJCK,,,,,WILLOW TREE,RD,WILLOW TREE,NSW,2339,150,39,43,E,31,42,49,S,56,278450,6488940,12209
,BIG SPRINGS SCAX,BIGS,,,,,ALBURY-LITTLE BILLABONG,RD,BIG SPRINGS,NSW,2650,147,28,52,E,35,16,52,S,55,543739,6095680,1118
NORTHWEST OF CROOKWELL IN,BIGGA SCAX,BIGG,,,,,BINDA,ST,BIGGA,NSW,2583,149,8,50,E,34,5,17,S,55,698114,6226007,3868
,BILAMBIL EXCHANGE,BILH,,,,,MCALLISTERS,RD,BILAMBIL,NSW,2486,153,30,0,E,28,11,53,S,56,549068,6880770,1126
NEAR HANLONS ROAD IN,BILPIN EXCHANGE  & RT,BLPN,,,,,BELLS LINE OF,RD,BILPIN,NSW,2758,150,31,19,E,33,29,52,S,56,269796,6290768,1129
NORTHWEST OF CROOKWELL ON,BINDA SCAX,BNDA,,,,,BISHOP,ST,BINDA,NSW,2583,149,21,47,E,34,19,23,S,55,717426,6199502,4210
,BINGARA EXCHANGE,BINA,15,,,,MAITLAND,ST,BINGARA,NSW,2404,150,38,49,E,29,54,42,S,56,272821,6688686,3241
BINNAWAY POST OFFICE SITE APPR,BINNAWAY EXCHANGE,BNWY,32,,,,BULLINDA,ST,BINNAWAY,NSW,2395,149,22,45,E,31,33,5,S,55,725853,6506839,12104
20K EAST OF GRIFFITH  CORNER ERICOLA ROAD &,BINYA SCAX,BNYA,,,,,KITE,RD,BINYA,NSW,2665,146,20,24,E,34,10,59,S,55,439193,6217354,3869
CNR WADE ST,BIRTHRAMERE EXCHANGE,BMRE,,,,,BIRTHRAMERE,LANE,BIRTHRAMERE,NSW,2340,150,45,34,E,31,8,30,S,56,286397,6552547,1137
,BLACK SPRINGS SCAX,BLSP,,,,,MAIN,RD,BLACK SPRINGS,NSW,2787,149,46,8,E,33,48,55,S,55,756300,6254885,3731
,BLACKHEATH EXCHANGE,BLKH,2,,,,HYDORA,LANE,BLACKHEATH,NSW,2785,150,17,0,E,33,38,32,S,56,248048,6274209,3250
CNR WESTFIELD PL,BLACKTOWN EXCHANGE,BLAC,17,,,,FLUSHCOMBE,RD,BLACKTOWN,NSW,2148,150,54,28,E,33,46,10,S,56,306254,6261440,3259
ZOSIA ANGORA STUD,BLACKVILLE EXCHANGE,BKVE,,,,,YARRAMAN,ST,BLACKVILLE,NSW,2343,150,14,10,E,31,38,24,S,56,237879,6496158,4217
,BLAIRMORE SCAX,BLME,,,,,BLAIRMORE,RD,BLAIRMORE,NSW,2382,149,54,11,E,30,43,36,S,55,777994,6597098,4211
,BLAKEHURST EXCHANGE,BLAK,507,,,,PRINCES,HWY,BLAKEHURST,NSW,2221,151,6,53,E,33,58,58,S,56,325854,6238165,3256
,BLAKEHURST TE,BLAK,507,,,,PRINCES,HWY,BLAKEHURST,NSW,2221,151,6,46,E,33,59,24,S,56,325691,6237357,3256
,BLAKEHURST TE,BLAK,507,,,,PRINCES,HWY,BLAKEHURST,NSW,2221,151,6,53,E,33,58,58,S,56,325852,6238153,3256
